code,gender,name,country,disciplines
1960341,Female,DOUGLAS Sarah,Canada,['Sailing']
1960349,Male,ALYOUHA Yaqoub,Kuwait,['Athletics']
1960533,Male,ESERCITATO Michele,Canada,['Shooting']
1960544,Male,IKEDA Tye,Canada,['Shooting']
1960549,Female,WESTLAKE Shannon,Canada,['Shooting']
1960557,Female,SHAH Ameena,Kuwait,['Sailing']
1960567,Female,SGHAIER Zaineb,Tunisia,['Wrestling']
1960581,Female,COCKRELL Anna,United States,['Athletics']
1960588,Female,BROWN Brittany,United States,['Athletics']
1960590,Male,DEADMON Bryce,United States,['Athletics']
1960604,Male,BAILEY Christopher,United States,['Athletics']
1960610,Male,ALLEN CJ,United States,['Athletics']
1960612,Female,LINDWURM Dakotah,United States,['Athletics']
1960622,Female,CRANNY Elise,United States,['Athletics']
1960646,Male,BROWN Joseph,United States,['Athletics']
1960650,Female,BROWN Kaylyn,United States,['Athletics']
1960658,Male,BLANKS Graham,United States,['Athletics']
1960659,Male,BEDNAREK Kenneth,United States,['Athletics']
1960664,Male,CLEMONS Malcolm,United States,['Athletics']
1960667,Male,BOLING Matthew,United States,['Athletics']
1960675,Female,AKINS Nia,United States,['Athletics']
1960684,Male,BENJAMIN Rai,United States,['Athletics']
1960688,Male,CROUSER Ryan,United States,['Athletics']
1960705,Female,BROOKS Taliyah,United States,['Athletics']
1960709,Female,DAVIS Tamari,United States,['Athletics']
1960711,Female,DAVIS-WOODHALL Tara,United States,['Athletics']
1960716,Male,BASSITT Trevor,United States,['Athletics']
1960721,Female,ALLMAN Valarie,United States,['Athletics']
1960722,Female,CONSTIEN Valerie,United States,['Athletics']
1960723,Female,CUNNINGHAM Vashti,United States,['Athletics']
1960740,Female,FURQUIM BASTOS Georgia,Brazil,['Shooting']
1960741,Female,MEYER Geovana,Brazil,['Shooting']
1960746,Male,CHATEAUBRIAN Philipe,Brazil,['Shooting']
1960762,Female,APPS Olivia,Canada,['Rugby Sevens']
1960765,Female,BERMUDEZ Fancy,Canada,['Rugby Sevens']
1960778,Female,CORRIGAN Alysha,Canada,['Rugby Sevens']
1960779,Female,CROSSLEY Caroline,Canada,['Rugby Sevens']
1960781,Female,DANIELS Chloe,Canada,['Rugby Sevens']
1960797,Female,HOGAN-ROCHESTER Asia,Canada,['Rugby Sevens']
1960803,Female,LOGAN Piper,Canada,['Rugby Sevens']
1960812,Female,NORSTEN Carissa,Canada,['Rugby Sevens']
1960817,Female,PERRY Taylor,Canada,['Rugby Sevens']
1960822,Female,SCURFIELD Krissy,Canada,['Rugby Sevens']
1960826,Female,SYMONDS Florence,Canada,['Rugby Sevens']
1960832,Female,VALENZUELA Shalaya,Canada,['Rugby Sevens']
1960834,Female,WARDLEY Keyara,Canada,['Rugby Sevens']
1960837,Female,WILLIAMS Charity,Canada,['Rugby Sevens']
1960867,Female,ARNOLD Djenyfer,Brazil,['Triathlon']
1960871,Male,MESSIAS Manoel,Brazil,['Triathlon']
1960872,Male,HIDALGO Miguel,Brazil,['Triathlon']
1960873,Female,LOPES Vittoria,Brazil,['Triathlon']
1960899,Female,ECHIKUNWOKE Annette Nneka,United States,['Athletics']
1960902,Male,EVANS Andrew,United States,['Athletics']
1960907,Female,HALL Anna,United States,['Athletics']
1960909,Female,HOLMES Alexis,United States,['Athletics']
1960913,Female,JOHNSON Alaysha,United States,['Athletics']
