medal_type,code,country
Silver Medal,1879110,France
Bronze Medal,1940136,Australia
Bronze Medal,1555185,Bulgaria
Gold Medal,1926832,China
Silver Medal,1568186,Türkiye
Bronze Medal,1940134,Australia
Bronze Medal,1894537,EOR
Gold Medal,1895717,France
Silver Medal,1933816,Portugal
Bronze Medal,1915370,Belgium
Gold Medal,1945040,New Zealand
Silver Medal,1969180,Netherlands
Bronze Medal,1912522,Great Britain
Gold Medal,1901550,China
Silver Medal,1901549,China
Bronze Medal,1535349,Mexico
Gold Medal,1972515,Netherlands
Silver Medal,1945588,Australia
Bronze Medal,1925804,Italy
Gold Medal,1899728,Great Britain
Silver Medal,1559512,France
Bronze Medal,1970517,Netherlands
Gold Medal,1940329,Indonesia
Silver Medal,1913699,China
Bronze Medal,1950309,United States
Gold Medal,1887714,Uzbekistan
Silver Medal,1537401,Jordan
Bronze Medal,1910367,China
Bronze Medal,1955815,Brazil
Gold Medal,1904038,Korea
Silver Medal,1536067,IR Iran
Bronze Medal,1966505,Canada
Bronze Medal,2493835,Bulgaria
Gold Medal,1941786,Indonesia
Silver Medal,1898067,Thailand
Bronze Medal,1902787,Bulgaria
Gold Medal,1918379,China
Silver Medal,1965815,Canada
Bronze Medal,1569563,Chinese Taipei
Gold Medal,1544928,IR Iran
Silver Medal,1550119,Ukraine
Bronze Medal,1981760,Azerbaijan
Bronze Medal,1571498,Cuba
Gold Medal,1559471,Bulgaria
Silver Medal,1544880,IR Iran
Bronze Medal,1550116,Ukraine
Bronze Medal,1879518,Denmark
Gold Medal,1939711,Japan
Silver Medal,1960228,Ecuador
Bronze Medal,1980149,DPR Korea
Bronze Medal,1920006,China
Gold Medal,1960684,United States
Silver Medal,1894095,Norway
Bronze Medal,1951913,Brazil
Gold Medal,1904099,Spain
Silver Medal,1938792,Portugal
Bronze Medal,1552375,Italy
Gold Medal,1910560,Kenya
Silver Medal,1552305,Italy
Bronze Medal,1972105,Netherlands
Gold Medal,1899666,Dominican Republic
Silver Medal,1915338,Bahrain
Bronze Medal,1573098,Poland
Gold Medal,1920183,Germany
Silver Medal,1926695,New Zealand
Bronze Medal,1919065,China
Gold Medal,1556797,Uzbekistan
Silver Medal,1535187,Mexico
Gold Medal,1556860,Uzbekistan
Silver Medal,1972343,Azerbaijan
Gold Medal,1926833,China
Silver Medal,1568182,Türkiye
Gold Medal,1540353,Algeria
Silver Medal,1926827,China
Gold Medal,1953038,Japan
Silver Medal,1924559,Lithuania
Bronze Medal,1909907,China
Gold Medal,1878716,Czechia
Silver Medal,1952595,Brazil
Bronze Medal,1550295,Republic of Moldova
Gold Medal,1969182,Netherlands
Silver Medal,1940263,Australia
Bronze Medal,1912515,Great Britain
Gold Medal,1901538,China
Silver Medal,1940414,Australia
Bronze Medal,1901539,China
Gold Medal,1909030,Hungary
Silver Medal,1907234,Germany
Bronze Medal,1902450,Hungary
Gold Medal,1566437,Austria
Silver Medal,1981549,Slovenia
Bronze Medal,1535852,Singapore
Gold Medal,1544218,Great Britain
Silver Medal,1892022,Japan
Bronze Medal,1560677,Austria
Gold Medal,1947737,Tunisia
Silver Medal,1536058,IR Iran
Bronze Medal,1929685,Italy
Bronze Medal,1914832,Denmark
Gold Medal,1572318,Hungary
Silver Medal,1956372,Serbia
Bronze Medal,1930773,United States
Bronze Medal,1903284,Belgium
Gold Medal,1903011,Bulgaria
Silver Medal,1543506,Colombia
Bronze Medal,1568724,Italy
Gold Medal,1917154,United States
Silver Medal,1543509,Colombia
Bronze Medal,1940300,Ecuador
Gold Medal,1939714,Japan
Silver Medal,1955415,United States
Bronze Medal,1931496,India
Bronze Medal,1562157,Uzbekistan
Gold Medal,1556873,Bulgaria
Silver Medal,1544803,IR Iran
Bronze Medal,1955300,United States
Bronze Medal,1963800,Greece
Gold Medal,1939710,Japan
Silver Medal,1572203,Republic of Moldova
Bronze Medal,1955426,United States
Bronze Medal,1920010,China
Gold Medal,1898250,Norway
Silver Medal,1963077,Kenya
Bronze Medal,1960959,United States
Gold Medal,1910412,Kenya
Silver Medal,1974048,Canada
Bronze Medal,1963520,Algeria
Gold Medal,1926713,New Zealand
Silver Medal,1965306,United States
Bronze Medal,1566681,Qatar
Gold Medal,1901284,Ethiopia
Silver Medal,1942753,Belgium
Bronze Medal,1910555,Kenya
Gold Medal,1960169,United States
Silver Medal,1911932,France
Bronze Medal,1537183,Puerto Rico
Gold Medal,1910451,Kenya
Silver Medal,1939795,Australia
Bronze Medal,1956840,Great Britain
Gold Medal,1919914,Japan
Silver Medal,1981085,South Africa
Bronze Medal,1892137,Czechia
Gold Medal,1556869,Uzbekistan
Silver Medal,1934775,Spain
Gold Medal,1556049,Uzbekistan
Silver Medal,1878687,Kyrgyzstan
Gold Medal,1887963,Chinese Taipei
Silver Medal,1568655,Poland
Gold Medal,1926826,China
Silver Medal,1965679,Panama
Gold Medal,1958888,Canada
Silver Medal,1880191,France
Bronze Medal,1955590,United States
Gold Medal,1878715,Czechia
Silver Medal,1570863,Hungary
Bronze Medal,1569972,Hungary
Gold Medal,1964547,Canada
Silver Medal,1955126,United States
Bronze Medal,1564506,Cuba
Gold Medal,1945383,New Zealand
Silver Medal,1568350,Hungary
Bronze Medal,1892423,Denmark
Gold Medal,1901556,China
Silver Medal,1891685,Japan
Bronze Medal,1900857,Great Britain
Gold Medal,1939553,New Zealand
Silver Medal,1892506,Germany
Bronze Medal,1913218,China
Gold Medal,1932649,Egypt
Silver Medal,1887939,Japan
Bronze Medal,1553031,Italy
Gold Medal,1981131,Slovenia
Silver Medal,1950307,United States
Bronze Medal,1560673,Austria
Gold Medal,1536045,IR Iran
Silver Medal,1896149,Great Britain
Bronze Medal,1897088,Cuba
Bronze Medal,1548401,Côte d'Ivoire
Gold Medal,1893272,France
Silver Medal,1887768,Uzbekistan
Bronze Medal,1904039,Korea
Bronze Medal,1566738,Türkiye
Gold Medal,1551443,Georgia
Silver Medal,1544424,Armenia
Bronze Medal,1540334,Bahrain
Gold Medal,1918369,China
Silver Medal,1551307,Uzbekistan
Bronze Medal,1569832,AIN
Gold Medal,1878625,Norway
Silver Medal,1563010,Egypt
Bronze Medal,1940308,Ecuador
Gold Medal,1554885,Georgia
Silver Medal,1543088,IR Iran
Bronze Medal,1570546,Türkiye
Bronze Medal,1947172,Azerbaijan
Gold Medal,1562164,Uzbekistan
Silver Medal,1939708,Japan
Bronze Medal,1955345,United States
Bronze Medal,3429662,Albania
Gold Medal,1939702,Japan
Silver Medal,1897022,Ukraine
Bronze Medal,1902786,Kyrgyzstan
Bronze Medal,1878635,Norway
Gold Medal,1972105,Netherlands
Silver Medal,1901487,Ethiopia
Bronze Medal,1932851,Kenya
Gold Medal,1969182,Netherlands
Silver Medal,1940263,Australia
Bronze Medal,1940262,Australia
Gold Medal,1955106,United States
Silver Medal,1572953,Poland
Bronze Medal,1945080,New Zealand
Gold Medal,1945040,New Zealand
Silver Medal,1889704,Germany
Bronze Medal,1912522,Great Britain
Gold Medal,1936619,Hungary
Silver Medal,1545116,France
Bronze Medal,1786902,Korea
Gold Medal,1918376,China
Silver Medal,1894414,Korea
Bronze Medal,1544179,Great Britain
Gold Medal,1939700,Japan
Silver Medal,1544830,IR Iran
Bronze Medal,1537188,Puerto Rico
Bronze Medal,1559387,Albania
Gold Medal,1540305,Bahrain
Silver Medal,1552495,Georgia
Bronze Medal,1981785,Azerbaijan
Bronze Medal,1543095,IR Iran
Gold Medal,1939701,Japan
Silver Medal,1955344,United States
Bronze Medal,1571936,Cuba
Bronze Medal,1535513,Colombia
Gold Medal,1896230,Germany
Silver Medal,1548948,Bulgaria
Bronze Medal,1923694,Italy
Gold Medal,1903112,Belgium
Silver Medal,1977926,Great Britain
Bronze Medal,1895596,Belgium
Gold Medal,1901539,China
Gold Medal,1901538,China
Silver Medal,1954159,United States
Silver Medal,1954168,United States
Bronze Medal,1900841,Great Britain
Bronze Medal,1973355,Great Britain
Gold Medal,1879682,France
Gold Medal,1879687,France
Gold Medal,1879683,France
Gold Medal,1879671,France
Gold Medal,1879681,France
Gold Medal,1879684,France
Gold Medal,1879675,France
Gold Medal,1879692,France
Gold Medal,1879672,France
Gold Medal,1879661,France
Gold Medal,1879669,France
Gold Medal,1879685,France
Gold Medal,1879670,France
Silver Medal,1908897,Fiji
Silver Medal,1908838,Fiji
Silver Medal,1913346,Fiji
Silver Medal,1977633,Fiji
Silver Medal,1913523,Fiji
Silver Medal,1982069,Fiji
Silver Medal,1913286,Fiji
Silver Medal,1913334,Fiji
Silver Medal,1908911,Fiji
Silver Medal,1908835,Fiji
Silver Medal,1908841,Fiji
Silver Medal,2484588,Fiji
Silver Medal,1982687,Fiji
Silver Medal,1908901,Fiji
Bronze Medal,1574106,South Africa
Bronze Medal,1574107,South Africa
Bronze Medal,1574108,South Africa
Bronze Medal,1574109,South Africa
Bronze Medal,1888936,South Africa
Bronze Medal,1574111,South Africa
Bronze Medal,1574134,South Africa
Bronze Medal,1888932,South Africa
Bronze Medal,1574114,South Africa
Bronze Medal,1574121,South Africa
Bronze Medal,1574118,South Africa
Bronze Medal,1574119,South Africa
Bronze Medal,1574112,South Africa
Gold Medal,1913945,China
Gold Medal,1913899,China
Silver Medal,1893896,Korea
Silver Medal,1893976,Korea
Bronze Medal,1930466,Kazakhstan
Bronze Medal,1930467,Kazakhstan
Gold Medal,1935916,United States
Gold Medal,1935933,United States
Gold Medal,1935871,United States
Gold Medal,1935896,United States
Gold Medal,1935869,United States
Gold Medal,1935911,United States
Silver Medal,1946186,Australia
Silver Medal,1946235,Australia
Silver Medal,1946179,Australia
Silver Medal,1946200,Australia
Silver Medal,1946196,Australia
Bronze Medal,1925669,Italy
Bronze Medal,1925681,Italy
Bronze Medal,1925675,Italy
Bronze Medal,1925634,Italy
Bronze Medal,1925635,Italy
Bronze Medal,1925636,Italy
Gold Medal,1946221,Australia
Gold Medal,1946159,Australia
Gold Medal,1946212,Australia
Gold Medal,1946177,Australia
Gold Medal,1946227,Australia
Gold Medal,1946218,Australia
Silver Medal,1935860,United States
Silver Medal,1935945,United States
Silver Medal,1935879,United States
Silver Medal,1935895,United States
Silver Medal,1935923,United States
Silver Medal,1935998,United States
Bronze Medal,1945230,China
Bronze Medal,1945206,China
Bronze Medal,1945164,China
Bronze Medal,1945159,China
Bronze Medal,1945125,China
Gold Medal,1902121,Korea
Gold Medal,1902147,Korea
Gold Medal,1902148,Korea
Silver Medal,1913382,China
Silver Medal,1913372,China
Silver Medal,1913380,China
Bronze Medal,1535429,Mexico
Bronze Medal,1535420,Mexico
Bronze Medal,1536479,Mexico
Gold Medal,1902130,Korea
Gold Medal,1902135,Korea
Gold Medal,1902144,Korea
Silver Medal,1541270,France
Silver Medal,1541272,France
Silver Medal,1541275,France
Bronze Medal,1565000,Türkiye
Bronze Medal,1565002,Türkiye
Bronze Medal,1565006,Türkiye
Gold Medal,1919492,Japan
Gold Medal,1919491,Japan
Gold Medal,1919480,Japan
Gold Medal,1919479,Japan
Gold Medal,1919490,Japan
Silver Medal,1918856,China
Silver Medal,1918858,China
Silver Medal,1918860,China
Silver Medal,1918864,China
Silver Medal,1918865,China
Bronze Medal,1959781,United States
Bronze Medal,1959855,United States
Bronze Medal,1959823,United States
Bronze Medal,1959865,United States
Bronze Medal,1959811,United States
Gold Medal,1901555,China
Gold Medal,1901554,China
Silver Medal,1900838,Great Britain
Silver Medal,1900857,Great Britain
Bronze Medal,1959146,Canada
